PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,ALL_STAR
1629623,Lindell Wigginton,MIL,25.0,7,4,3,0.571,12.4,2.6,5.3,0.486,0.9,2.6,0.333,1.1,1.3,0.889,0.0,1.0,1.0,2.0,1.7,0.0,0.3,0.3,1.0,1.9,7.1,-5.6,0
1630322,Lindy Waters III,OKC,25.0,41,20,21,0.488,12.9,1.7,4.3,0.393,1.4,4.0,0.358,0.4,0.5,0.8,0.4,1.4,1.8,0.7,0.2,0.3,0.3,0.1,1.0,0.3,5.2,3.3,0
1629022,Lonnie Walker IV,LAL,24.0,56,27,29,0.482,23.2,4.2,9.4,0.448,1.6,4.4,0.365,1.6,1.9,0.858,0.3,1.7,1.9,1.1,0.8,0.5,0.3,0.4,1.3,1.2,11.7,-3.7,0
1629663,Louis King,PHI,24.0,1,1,0,1.0,28.8,8.0,13.0,0.615,4.0,8.0,0.5,0.0,1.0,0.0,2.0,2.0,4.0,2.0,2.0,1.0,0.0,0.0,4.0,2.0,20.0,2.0,0
1629652,Luguentz Dort,OKC,24.0,74,36,38,0.486,30.7,4.6,11.8,0.388,1.8,5.5,0.33,2.7,3.5,0.772,1.7,2.9,4.6,2.1,1.2,1.0,0.3,0.7,3.3,3.7,13.7,0.5,0
1629029,Luka Dončić,DAL,24.0,66,33,33,0.5,36.2,10.9,22.0,0.496,2.8,8.2,0.342,7.8,10.5,0.742,0.8,7.8,8.6,8.0,3.6,1.4,0.5,0.7,2.5,7.3,32.4,1.9,1
1630568,Luka Garza,MIN,24.0,28,15,13,0.536,8.7,2.3,4.1,0.543,0.5,1.4,0.359,1.5,1.9,0.788,1.2,1.1,2.3,0.6,0.5,0.1,0.1,0.3,1.5,1.3,6.5,0.6,0
1629677,Luka Samanic,UTA,23.0,7,2,5,0.286,23.0,3.7,8.1,0.456,1.1,4.4,0.258,1.3,1.9,0.692,0.0,4.3,4.3,2.1,1.4,0.9,0.3,0.4,2.4,1.4,9.9,-0.9,0
1628379,Luke Kennard,MEM,27.0,59,37,22,0.627,22.3,3.2,6.5,0.492,2.3,4.6,0.494,0.6,0.7,0.949,0.3,2.4,2.7,1.5,0.8,0.5,0.1,0.2,1.4,0.6,9.3,3.6,0
1628436,Luke Kornet,BOS,27.0,69,45,24,0.652,11.7,1.6,2.5,0.665,0.0,0.2,0.231,0.5,0.6,0.821,1.2,1.6,2.9,0.8,0.4,0.2,0.7,0.1,1.2,0.6,3.8,0.9,0
1630644,Mac McClung,PHI,24.0,2,2,0,1.0,20.5,4.5,10.0,0.45,2.0,5.5,0.364,1.5,2.5,0.6,1.5,3.5,5.0,4.5,1.5,0.0,0.0,0.5,1.5,2.0,12.5,9.0,0
1630201,Malachi Flynn,TOR,25.0,53,29,24,0.547,13.0,1.6,4.6,0.36,0.9,2.5,0.353,0.5,0.6,0.758,0.3,1.2,1.4,1.3,0.5,0.4,0.1,0.2,1.2,0.6,4.6,-0.8,0
1631103,Malaki Branham,SAS,20.0,66,15,51,0.227,23.5,4.1,9.3,0.44,1.2,3.9,0.302,0.9,1.1,0.829,0.4,2.3,2.7,1.9,1.2,0.5,0.1,0.6,1.7,0.9,10.2,-5.5,0
1627763,Malcolm Brogdon,BOS,30.0,67,46,21,0.687,26.0,5.3,10.9,0.484,2.0,4.4,0.444,2.4,2.7,0.87,0.6,3.6,4.2,3.7,1.5,0.7,0.3,0.8,1.6,2.5,14.9,2.7,0
1630792,Malcolm Hill,CHI,27.0,5,4,1,0.8,1.8,0.4,0.8,0.5,0.2,0.6,0.333,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,1.8,0
1627736,Malik Beasley,LAL,26.0,81,45,36,0.556,25.8,4.6,11.6,0.395,2.9,8.1,0.357,0.6,0.8,0.769,0.4,3.1,3.5,1.5,1.1,0.8,0.1,0.3,1.3,0.6,12.7,-1.1,0
1628370,Malik Monk,SAC,25.0,77,47,30,0.61,22.3,4.6,10.3,0.448,1.9,5.2,0.359,2.4,2.7,0.889,0.4,2.2,2.6,3.9,1.9,0.6,0.3,0.7,1.6,1.9,13.5,0.9,0
1629603,Mamadi Diakite,CLE,26.0,22,15,7,0.682,8.0,1.1,2.3,0.48,0.3,1.0,0.333,0.1,0.1,1.0,0.4,1.0,1.4,0.4,0.5,0.2,0.4,0.1,1.2,0.1,2.6,-0.4,0
1630699,MarJon Beauchamp,MIL,22.0,52,34,18,0.654,13.5,1.8,4.7,0.395,0.9,2.7,0.331,0.5,0.7,0.73,0.7,1.5,2.2,0.7,0.9,0.4,0.1,0.3,1.4,0.5,5.1,-1.9,0
202694,Marcus Morris Sr.,LAC,33.0,65,35,30,0.538,28.1,4.2,9.9,0.426,1.7,4.7,0.365,1.0,1.3,0.782,0.4,3.5,4.0,1.8,0.9,0.6,0.3,0.2,2.1,1.1,11.2,-0.2,0
203935,Marcus Smart,BOS,29.0,61,43,18,0.705,32.1,4.1,9.9,0.415,1.9,5.6,0.336,1.4,1.9,0.746,0.8,2.4,3.1,6.3,2.3,1.5,0.4,0.3,2.8,2.9,11.5,3.9,0
1631109,Mark Williams,CHA,21.0,43,18,25,0.419,19.3,3.7,5.8,0.637,0.0,0.0,0.0,1.6,2.3,0.691,2.2,4.9,7.1,0.4,0.9,0.7,1.0,0.5,2.2,1.8,9.0,-1.8,0
1628365,Markelle Fultz,ORL,25.0,60,29,31,0.483,29.6,5.8,11.3,0.514,0.5,1.5,0.31,1.9,2.4,0.783,1.2,2.8,3.9,5.7,2.3,1.5,0.4,0.7,2.2,1.9,14.0,-2.2,0
202693,Markieff Morris,DAL,33.0,35,17,18,0.486,10.1,1.3,3.3,0.409,0.8,2.0,0.394,0.3,0.3,1.0,0.4,1.7,2.0,0.9,0.5,0.3,0.1,0.0,1.4,0.3,3.8,0.3,0
1630250,Marko Simonovic,CHI,23.0,7,3,4,0.429,2.8,0.3,1.0,0.286,0.1,0.6,0.25,0.1,0.3,0.5,0.1,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.7,0.1,0.9,2.1,0
1628963,Marvin Bagley III,DET,24.0,42,7,35,0.167,23.6,4.8,9.1,0.529,0.5,1.6,0.288,1.9,2.6,0.75,2.2,4.2,6.4,0.9,1.1,0.5,0.7,0.4,1.9,2.3,12.0,-5.5,0
203486,Mason Plumlee,LAC,33.0,79,28,51,0.354,26.0,4.2,6.1,0.68,0.0,0.0,0.0,2.5,4.0,0.636,2.9,6.0,8.9,3.1,1.5,0.6,0.6,0.5,2.7,3.2,10.8,-3.4,0
1629680,Matisse Thybulle,POR,26.0,71,38,33,0.535,16.9,1.5,3.6,0.435,0.8,2.1,0.365,0.3,0.4,0.679,0.6,1.4,2.0,0.7,0.3,1.2,0.5,0.1,1.6,0.5,4.1,-0.2,0
1630346,Matt Ryan,MIN,26.0,34,15,19,0.441,9.1,1.2,3.2,0.37,0.9,2.5,0.381,0.3,0.4,0.833,0.1,0.6,0.8,0.5,0.2,0.1,0.0,0.1,0.8,0.3,3.6,0.6,0
203521,Matthew Dellavedova,SAC,32.0,32,19,13,0.594,6.6,0.5,1.6,0.34,0.3,0.8,0.333,0.1,0.2,0.571,0.0,0.4,0.4,1.3,0.3,0.2,0.0,0.0,0.6,0.4,1.5,-1.6,0
1631108,Max Christie,LAL,20.0,41,19,22,0.463,12.5,1.1,2.6,0.415,0.6,1.5,0.419,0.3,0.4,0.875,0.2,1.7,1.8,0.5,0.3,0.2,0.2,0.1,0.8,0.2,3.1,-1.9,0
1629622,Max Strus,MIA,27.0,80,42,38,0.525,28.4,4.1,9.9,0.41,2.5,7.0,0.35,1.0,1.1,0.876,0.6,2.6,3.2,2.1,0.9,0.5,0.2,0.3,2.1,1.1,11.5,-1.8,0
1628467,Maxi Kleber,DAL,31.0,37,18,19,0.486,25.1,2.1,4.6,0.456,1.1,3.0,0.348,0.7,1.0,0.711,0.8,2.8,3.6,1.4,0.7,0.3,0.8,0.1,2.3,1.1,5.9,-1.2,0
1630593,McKinley Wright IV,DAL,24.0,27,14,13,0.519,12.4,1.7,3.6,0.469,0.3,1.0,0.321,0.5,0.7,0.684,0.3,1.4,1.7,2.1,0.7,0.3,0.2,0.3,0.9,0.8,4.2,-4.1,0
203086,Meyers Leonard,MIL,31.0,9,6,3,0.667,12.6,1.6,3.2,0.483,0.8,2.0,0.389,0.9,1.0,0.889,1.3,2.4,3.8,0.1,0.7,0.2,0.0,0.2,1.8,1.3,4.8,-3.0,0
